created_at,favorite_count,full_text,lang,quote_count,reply_count,retweet_count,cleaned_text,normalized_text,no_stopwords_text,stemmed_text,tokens_stemmed,tokens,cluster
Tue Apr 29 23:47:04 +0000 2025,17,@msaid_didu 1/dukung usut ijazah jokowi 2/tolak syahwat komplotan jokowi yg bikin kusut ini negeri!,in,0,0,2,dukung usut ijazah jokowi tolak syahwat komplotan jokowi yg bikin kusut ini negeri,dukung usut ijazah jokowi tolak syahwat komplotan jokowi yang bikin kusut ini negeri,dukung usut ijazah jokowi tolak syahwat komplotan jokowi bikin kusut negeri,dukung usut ijazah jokowi tolak syahwat komplot jokowi bikin kusut negeri,"['dukung', 'usut', 'ijazah', 'jokowi', 'tolak', 'syahwat', 'komplot', 'jokowi', 'bikin', 'kusut', 'negeri']","['dukung', 'usut', 'ijazah', 'jokowi', 'tolak', 'syahwat', 'komplot', 'jokowi', 'bikin', 'kusut', 'negeri']",4
Tue Apr 29 23:46:52 +0000 2025,0,Debat Panas Ijazah PALSU anak bangsa di adu domba TSM oleh Jokowi anak emas xingping fee hingga di nobatkan tokoh terkorup no 2 ... Oligarki sudah menguasai Indonesia SDA di rampok rakyat di miskinkan eksodus China tidak terbendung .. MERDEKA RRC https://t.co/vC6FjB5x0F,in,0,0,0,debat panas ijazah palsu anak bangsa di adu domba tsm oleh jokowi anak emas xingping fee hingga di nobatkan tokoh terkorup no oligarki sudah menguasai indonesia sda di rampok rakyat di miskinkan eksodus china tidak terbendung merdeka rrc,debat panas ijazah palsu anak bangsa di adu domba tsm oleh jokowi anak emas xingping fee hingga di nobatkan tokoh terkorup no oligarki sudah menguasai indonesia sda di rampok rakyat di miskinkan eksodus china tidak terbendung merdeka rrc,debat panas ijazah palsu anak bangsa adu domba tsm jokowi anak emas xingping fee nobatkan tokoh terkorup no oligarki menguasai indonesia sda rampok rakyat miskinkan eksodus china terbendung merdeka rrc,debat panas ijazah palsu anak bangsa adu domba tsm jokowi anak emas xingping fee nobat tokoh korup no oligarki kuasa indonesia sda rampok rakyat miskin eksodus china bendung merdeka rrc,"['debat', 'panas', 'ijazah', 'palsu', 'anak', 'bangsa', 'adu', 'domba', 'tsm', 'jokowi', 'anak', 'emas', 'xingping', 'fee', 'nobat', 'tokoh', 'korup', 'no', 'oligarki', 'kuasa', 'indonesia', 'sda', 'rampok', 'rakyat', 'miskin', 'eksodus', 'china', 'bendung', 'merdeka', 'rrc']","['debat', 'panas', 'ijazah', 'palsu', 'anak', 'bangsa', 'adu', 'domba', 'tsm', 'jokowi', 'anak', 'emas', 'xingping', 'fee', 'nobat', 'tokoh', 'korup', 'no', 'oligarki', 'kuasa', 'indonesia', 'sda', 'rampok', 'rakyat', 'miskin', 'eksodus', 'china', 'bendung', 'merdeka', 'rrc']",1
Tue Apr 29 23:45:51 +0000 2025,0,@MasBRO_back Org nanya ijazah mu mana itu org gila krn km bkn siapa2.klau Jokowi org perlu tau ijazahnya mana krn dia kepala pemerintahan.dia memimpin negara ini pendidikan ya apa rakyat perlu tau.,in,0,0,0,org nanya ijazah mu mana itu org gila krn km bkn siapaklau jokowi org perlu tau ijazahnya mana krn dia kepala pemerintahandia memimpin negara ini pendidikan ya apa rakyat perlu tau,org nanya ijazah mu mana itu org gila karena km bkn siapaklau jokowi org perlu tau ijazahnya mana karena dia kepala pemerintahandia memimpin negara ini pendidikan ya apa rakyat perlu tau,org nanya ijazah mu org gila km bkn siapaklau jokowi org tau ijazahnya kepala pemerintahandia memimpin negara pendidikan ya rakyat tau,org nanya ijazah mu org gila km bkn siapaklau jokowi org tau ijazah kepala pemerintahandia pimpin negara didik ya rakyat tau,"['org', 'nanya', 'ijazah', 'mu', 'org', 'gila', 'km', 'bkn', 'siapaklau', 'jokowi', 'org', 'tau', 'ijazah', 'kepala', 'pemerintahandia', 'pimpin', 'negara', 'didik', 'ya', 'rakyat', 'tau']","['org', 'nanya', 'ijazah', 'mu', 'org', 'gila', 'km', 'bkn', 'siapaklau', 'jokowi', 'org', 'tau', 'ijazah', 'kepala', 'pemerintahandia', 'pimpin', 'negara', 'didik', 'ya', 'rakyat', 'tau']",4
Tue Apr 29 23:45:29 +0000 2025,0,MAU MENJARAIN PAKE PASAL APAAN?? PUNYA NIAT MENJARAIN ORANG FAKTANYA KETUA+SEKJEN (EX+NOW) HIMPUNAN ALUMNI KAMPUS UGM YG PERNAH KASIH ANGGOTA ALUMNI UGM (KAGAMA) GAK PERNAH MENYANGKAL KEASLIAN LULUSAN + IJAZAH JOKOWI https://t.co/OIJ2rnMY7u,in,0,0,0,mau menjarain pake pasal apaan punya niat menjarain orang faktanya ketuasekjen exnow himpunan alumni kampus ugm yg pernah kasih anggota alumni ugm kagama gak pernah menyangkal keaslian lulusan ijazah jokowi,mau menjarain pake pasal apaan punya niat menjarain orang faktanya ketuasekjen exnow himpunan alumni kampus ugm yang pernah kasih anggota alumni ugm kagama tidak pernah menyangkal keaslian lulusan ijazah jokowi,menjarain pake pasal niat menjarain orang faktanya ketuasekjen exnow himpunan alumni kampus ugm kasih anggota alumni ugm kagama menyangkal keaslian lulusan ijazah jokowi,menjarain pake pasal niat menjarain orang fakta ketuasekjen exnow himpun alumni kampus ugm kasih anggota alumni ugm kagama sangkal asli lulus ijazah jokowi,"['menjarain', 'pake', 'pasal', 'niat', 'menjarain', 'orang', 'fakta', 'ketuasekjen', 'exnow', 'himpun', 'alumni', 'kampus', 'ugm', 'kasih', 'anggota', 'alumni', 'ugm', 'kagama', 'sangkal', 'asli', 'lulus', 'ijazah', 'jokowi']","['menjarain', 'pake', 'pasal', 'niat', 'menjarain', 'orang', 'fakta', 'ketuasekjen', 'exnow', 'himpun', 'alumni', 'kampus', 'ugm', 'kasih', 'anggota', 'alumni', 'ugm', 'kagama', 'sangkal', 'asli', 'lulus', 'ijazah', 'jokowi']",0
Tue Apr 29 23:30:42 +0000 2025,20,Tak Terima Ijazah Jokowi Diragukan Mahasiswa Ngadu ke Polisi Laporkan Empat Tokoh Ini https://t.co/eOZfpeBB7Z,in,0,9,15,tak terima ijazah jokowi diragukan mahasiswa ngadu ke polisi laporkan empat tokoh ini,tak terima ijazah jokowi diragukan mahasiswa ngadu ke polisi laporkan empat tokoh ini,terima ijazah jokowi diragukan mahasiswa ngadu polisi laporkan empat tokoh,terima ijazah jokowi ragu mahasiswa ngadu polisi lapor empat tokoh,"['terima', 'ijazah', 'jokowi', 'ragu', 'mahasiswa', 'ngadu', 'polisi', 'lapor', 'empat', 'tokoh']","['terima', 'ijazah', 'jokowi', 'ragu', 'mahasiswa', 'ngadu', 'polisi', 'lapor', 'empat', 'tokoh']",4
Tue Apr 29 23:30:29 +0000 2025,705,Kasus Ijazah Diberitakan Media Asing Dokter Tifa: Hati-hati Pak Jokowi https://t.co/v9IgMjEfQs,in,1,35,296,kasus ijazah diberitakan media asing dokter tifa hatihati pak jokowi,kasus ijazah diberitakan media asing dokter tifa hatihati pak jokowi,ijazah diberitakan media asing dokter tifa hatihati jokowi,ijazah berita media asing dokter tifa hatihati jokowi,"['ijazah', 'berita', 'media', 'asing', 'dokter', 'tifa', 'hatihati', 'jokowi']","['ijazah', 'berita', 'media', 'asing', 'dokter', 'tifa', 'hatihati', 'jokowi']",4
Tue Apr 29 23:28:45 +0000 2025,12,Para Pecundang Politik Pembela dan pendukung Ijazah Palsu Jokowi Tetap ngotot menggiring Opini ijazah jkw itu Asli. Wakaupun mereka sendiri blum pernah dikasih lihat langsung sama jkw. Tak heran jika banyak para Buzer dan penjilat jadi pejabat asal siap jadi Boneka,in,0,2,2,para pecundang politik pembela dan pendukung ijazah palsu jokowi tetap ngotot menggiring opini ijazah jkw itu asli wakaupun mereka sendiri blum pernah dikasih lihat langsung sama jkw tak heran jika banyak para buzer dan penjilat jadi pejabat asal siap jadi boneka,para pecundang politik pembela dan pendukung ijazah palsu jokowi tetap ngotot menggiring opini ijazah jokowi itu asli wakaupun mereka sendiri blum pernah dikasih lihat langsung sama jokowi tak heran jika banyak para buzer dan penjilat jadi pejabat asal siap jadi boneka,pecundang politik pembela pendukung ijazah palsu jokowi ngotot menggiring opini ijazah jokowi asli wakaupun blum dikasih lihat langsung jokowi heran buzer penjilat pejabat boneka,cundang politik bela dukung ijazah palsu jokowi ngotot giring opini ijazah jokowi asli wakaupun blum kasih lihat langsung jokowi heran buzer jilat jabat boneka,"['cundang', 'politik', 'bela', 'dukung', 'ijazah', 'palsu', 'jokowi', 'ngotot', 'giring', 'opini', 'ijazah', 'jokowi', 'asli', 'wakaupun', 'blum', 'kasih', 'lihat', 'langsung', 'jokowi', 'heran', 'buzer', 'jilat', 'jabat', 'boneka']","['cundang', 'politik', 'bela', 'dukung', 'ijazah', 'palsu', 'jokowi', 'ngotot', 'giring', 'opini', 'ijazah', 'jokowi', 'asli', 'wakaupun', 'blum', 'kasih', 'lihat', 'langsung', 'jokowi', 'heran', 'buzer', 'jilat', 'jabat', 'boneka']",4
Tue Apr 29 23:28:32 +0000 2025,3,Waktunya Prabowo Intervensi Kasus Ijazah Jokowi Dibawa ke Pengadilan https://t.co/985wp29XQ9,in,0,0,3,waktunya prabowo intervensi kasus ijazah jokowi dibawa ke pengadilan,waktunya prabowo intervensi kasus ijazah jokowi dibawa ke pengadilan,prabowo intervensi ijazah jokowi dibawa pengadilan,prabowo intervensi ijazah jokowi bawa adil,"['prabowo', 'intervensi', 'ijazah', 'jokowi', 'bawa', 'adil']","['prabowo', 'intervensi', 'ijazah', 'jokowi', 'bawa', 'adil']",2
Tue Apr 29 23:27:05 +0000 2025,0,@jokovvl @DianSandiU @DedynurPalakka @AndreasSolusi Hasil forensik itu bentuk ikhtiar para penuduh sekarang tinggal buktiin sm jokowi dengan bawa ijazah asli kalau betul ijazah asli langsung bikin laporan buat para penuduh biar mereka dipenjara dan malu seumur hidup dengan tuduhan palsunya.,in,0,1,0,hasil forensik itu bentuk ikhtiar para penuduh sekarang tinggal buktiin sm jokowi dengan bawa ijazah asli kalau betul ijazah asli langsung bikin laporan buat para penuduh biar mereka dipenjara dan malu seumur hidup dengan tuduhan palsunya,hasil forensik itu bentuk ikhtiar para penuduh sekarang tinggal buktiin sm jokowi dengan bawa ijazah asli kalau betul ijazah asli langsung bikin laporan buat para penuduh biar mereka dipenjara dan malu seumur hidup dengan tuduhan palsunya,hasil forensik bentuk ikhtiar penuduh tinggal buktiin sm jokowi bawa ijazah asli ijazah asli langsung bikin laporan penuduh biar dipenjara malu seumur hidup tuduhan palsunya,hasil forensik bentuk ikhtiar tuduh tinggal buktiin sm jokowi bawa ijazah asli ijazah asli langsung bikin lapor tuduh biar penjara malu umur hidup tuduh palsu,"['hasil', 'forensik', 'bentuk', 'ikhtiar', 'tuduh', 'tinggal', 'buktiin', 'sm', 'jokowi', 'bawa', 'ijazah', 'asli', 'ijazah', 'asli', 'langsung', 'bikin', 'lapor', 'tuduh', 'biar', 'penjara', 'malu', 'umur', 'hidup', 'tuduh', 'palsu']","['hasil', 'forensik', 'bentuk', 'ikhtiar', 'tuduh', 'tinggal', 'buktiin', 'sm', 'jokowi', 'bawa', 'ijazah', 'asli', 'ijazah', 'asli', 'langsung', 'bikin', 'lapor', 'tuduh', 'biar', 'penjara', 'malu', 'umur', 'hidup', 'tuduh', 'palsu']",4
Tue Apr 29 23:25:13 +0000 2025,4,Kasus Ijazah Jokowi Diberitakan Media Asing https://t.co/zOGsjEpcbD,in,0,0,2,kasus ijazah jokowi diberitakan media asing,kasus ijazah jokowi diberitakan media asing,ijazah jokowi diberitakan media asing,ijazah jokowi berita media asing,"['ijazah', 'jokowi', 'berita', 'media', 'asing']","['ijazah', 'jokowi', 'berita', 'media', 'asing']",4
Tue Apr 29 23:22:49 +0000 2025,11,Kalau benar ijazah asli Jokowi itu bukan palsu kenapa Jokowi membiarkan kegaduhan ini berlarut-larut ??,in,0,2,1,kalau benar ijazah asli jokowi itu bukan palsu kenapa jokowi membiarkan kegaduhan ini berlarutlarut,kalau benar ijazah asli jokowi itu bukan palsu kenapa jokowi membiarkan kegaduhan ini berlarutlarut,ijazah asli jokowi palsu jokowi membiarkan kegaduhan berlarutlarut,ijazah asli jokowi palsu jokowi biar gaduh berlarutlarut,"['ijazah', 'asli', 'jokowi', 'palsu', 'jokowi', 'biar', 'gaduh', 'berlarutlarut']","['ijazah', 'asli', 'jokowi', 'palsu', 'jokowi', 'biar', 'gaduh', 'berlarutlarut']",4
Tue Apr 29 23:19:23 +0000 2025,1,@Epricila10 jangan bodoh bernarasi kajian akademik itu tidak melanggar undang². yg di kaji adalah ijazah yg beredar. soal ijazah itu sama dg yg di pegang Jokowi itu soal lain lagi,in,0,0,0,jangan bodoh bernarasi kajian akademik itu tidak melanggar undang yg di kaji adalah ijazah yg beredar soal ijazah itu sama dg yg di pegang jokowi itu soal lain lagi,jangan bodoh bernarasi kajian akademik itu tidak melanggar undang yang di kaji adalah ijazah yang beredar soal ijazah itu sama dg yang di pegang jokowi itu soal lain lagi,bodoh bernarasi kajian akademik melanggar undang kaji ijazah beredar soal ijazah dg pegang jokowi soal,bodoh narasi kaji akademik langgar undang kaji ijazah edar soal ijazah dg pegang jokowi soal,"['bodoh', 'narasi', 'kaji', 'akademik', 'langgar', 'undang', 'kaji', 'ijazah', 'edar', 'soal', 'ijazah', 'dg', 'pegang', 'jokowi', 'soal']","['bodoh', 'narasi', 'kaji', 'akademik', 'langgar', 'undang', 'kaji', 'ijazah', 'edar', 'soal', 'ijazah', 'dg', 'pegang', 'jokowi', 'soal']",2
Tue Apr 29 23:17:31 +0000 2025,5,@msaid_didu Bisakah @prabowo bersih bersih? Karena Lahir dari Rahim Ketidakjujuran: Prabowo Gibran Kaesang dan Bobby sbg Produk Politik Jokowi? https://t.co/cy8GeIlYSm #IndonesiaGelap Rismon Sianipar Geram ! Rektor UGM akui ijazah palsu Jokowi https://t.co/PmIQV6T9RM lewat @YouTube,in,0,0,3,bisakah bersih bersih karena lahir dari rahim ketidakjujuran prabowo gibran kaesang dan bobby sbg produk politik jokowi indonesiagelap rismon sianipar geram rektor ugm akui ijazah palsu jokowi lewat,bisakah bersih bersih karena lahir dari rahim ketidakjujuran prabowo gibran kaesang dan bobby sbg produk politik jokowi indonesiagelap rismon sianipar geram rektor ugm akui ijazah palsu jokowi lewat,bersih bersih lahir rahim ketidakjujuran prabowo gibran kaesang bobby sbg produk politik jokowi indonesiagelap rismon sianipar geram rektor ugm akui ijazah palsu jokowi,bersih bersih lahir rahim ketidakjujuran prabowo gibran kaesang bobby sbg produk politik jokowi indonesiagelap rismon sianipar geram rektor ugm aku ijazah palsu jokowi,"['bersih', 'bersih', 'lahir', 'rahim', 'ketidakjujuran', 'prabowo', 'gibran', 'kaesang', 'bobby', 'sbg', 'produk', 'politik', 'jokowi', 'indonesiagelap', 'rismon', 'sianipar', 'geram', 'rektor', 'ugm', 'aku', 'ijazah', 'palsu', 'jokowi']","['bersih', 'bersih', 'lahir', 'rahim', 'ketidakjujuran', 'prabowo', 'gibran', 'kaesang', 'bobby', 'sbg', 'produk', 'politik', 'jokowi', 'indonesiagelap', 'rismon', 'sianipar', 'geram', 'rektor', 'ugm', 'aku', 'ijazah', 'palsu', 'jokowi']",0
Tue Apr 29 23:16:11 +0000 2025,0,Bang jgn samakan penipu terbesar bangsa &amp; rakyat Indonesia @jokowi kita ga pernah diwakilkan oleh dia &amp; dia pun lg digugat masalah Ijazah Palsu #AdiliJokowi,in,0,0,0,bang jgn samakan penipu terbesar bangsa amp rakyat indonesia kita ga pernah diwakilkan oleh dia amp dia pun lg digugat masalah ijazah palsu adilijokowi,bang jgn samakan penipu terbesar bangsa amp rakyat indonesia kita tidak pernah diwakilkan oleh dia amp dia pun lg digugat masalah ijazah palsu adilijokowi,bang jgn samakan penipu terbesar bangsa amp rakyat indonesia diwakilkan amp lg digugat ijazah palsu adilijokowi,bang jgn sama tipu besar bangsa amp rakyat indonesia wakil amp lg gugat ijazah palsu adilijokowi,"['bang', 'jgn', 'sama', 'tipu', 'besar', 'bangsa', 'amp', 'rakyat', 'indonesia', 'wakil', 'amp', 'lg', 'gugat', 'ijazah', 'palsu', 'adilijokowi']","['bang', 'jgn', 'sama', 'tipu', 'besar', 'bangsa', 'amp', 'rakyat', 'indonesia', 'wakil', 'amp', 'lg', 'gugat', 'ijazah', 'palsu', 'adilijokowi']",1
